nat_demand,holiday,school,avg_T2M,avg_QV2M,avg_TQL,avg_W2M,season,month,day_of_week,hour_of_day,is_weekend,year,nat_demand_1hr_lag,nat_demand_24hr_lag,nat_demand_1week_lag
1017.0281,0,0,23.346561686197944,0.015527321666666668,0.045529683666666675,10.173193007325494,0,2,3,6,0,2019,1012.2364,1039.9613,1031.8288
1107.1032,0,0,24.573124186197944,0.015491818,0.046206156666666665,12.491276385521594,0,2,3,7,0,2019,1017.0281,1105.5521,1124.2507
1283.8768,0,0,26.50812174479169,0.015211058,0.04683685266666667,13.75304644671978,0,2,3,8,0,2019,1107.1032,1279.946,1296.4362
1385.2154999999998,0,0,28.50819295247398,0.014851432,0.04461161233333333,13.08337553525003,0,2,3,9,0,2019,1283.8768,1376.816,1399.3886
1462.9939,0,0,30.312534586588566,0.014571745000000002,0.041193645333333334,11.912297346673158,0,2,3,10,0,2019,1385.2154999999998,1461.2176000000002,1488.0406
1496.7113000000002,0,0,31.720615641276066,0.014524839666666666,0.035133362,10.65991534467222,0,2,3,11,0,2019,1462.9939,1500.3935,1528.477
1515.6002,0,0,32.69039306640627,0.014391613000000003,0.036560058666666666,9.776449890110731,0,2,3,12,0,2019,1496.7113000000002,1516.4032,1551.0192000000002
1537.0133999999998,0,0,33.20310872395836,0.014124982666666666,0.04660034066666666,9.314434693001356,0,2,3,13,0,2019,1515.6002,1537.5163,1558.4041
1547.1162,0,0,33.21985270182294,0.013929448166666669,0.061185201,9.45873498741688,0,2,3,14,0,2019,1537.0133999999998,1544.1781,1561.8341
1532.6234,0,0,32.64636637369794,0.013947382666666666,0.08376566566666666,9.942834542757764,0,2,3,15,0,2019,1547.1162,1516.0183000000002,1537.6704
1458.3622,0,0,31.46852010091148,0.014220576333333332,0.09695307466666665,10.70483590166747,0,2,3,16,0,2019,1532.6234,1423.6481,1476.4303
1348.1087,0,0,29.936578369140648,0.014590469,0.10348320100000001,11.46127003922622,0,2,3,17,0,2019,1458.3622,1315.7629000000002,1370.9056999999998
1316.5956,0,0,28.169478352864612,0.014968714,0.10431130816666667,11.822090772377505,0,2,3,18,0,2019,1348.1087,1302.8792,1369.6857
1366.0649,0,0,26.832147216796898,0.015249729333333331,0.10303751533333333,12.510323750178564,0,2,3,19,0,2019,1316.5956,1344.6948,1411.0658
1333.676,0,0,25.95660807291669,0.015451520000000002,0.09434509099999999,12.461056769959093,0,2,3,20,0,2019,1366.0649,1322.3815000000002,1385.6487
1303.6848,0,0,25.444116210937523,0.015545706999999999,0.07779947866666666,12.272640476007211,0,2,3,21,0,2019,1333.676,1274.4639,1343.3344
1251.4399,0,0,25.047896321614612,0.015599530333333333,0.06243896433333334,12.047384591551136,0,2,3,22,0,2019,1303.6848,1230.8693,1297.4769
1193.0447,0,0,24.726688639322944,0.015598045,0.05089950666666667,11.832827062398614,0,2,3,23,0,2019,1251.4399,1167.3914,1247.3261
1135.8766,0,0,24.458357747395855,0.015580528666666668,0.042435963,11.788834791866586,1,3,4,0,0,2019,1193.0447,1105.6927,1174.992
1086.2738000000002,0,0,24.208673095703148,0.015586384333333333,0.036331177666666666,11.78809934187228,1,3,4,1,0,2019,1135.8766,1062.6667,1149.2196
1046.204,0,0,24.009179687500023,0.015586390333333333,0.03392791666666667,11.72341807327552,1,3,4,2,0,2019,1086.2738000000002,1029.0728,1097.2608
1016.4425,0,0,23.86163736979169,0.015558326666666669,0.035278320333333335,11.48080604006605,1,3,4,3,0,2019,1046.204,1003.0469,1066.3767
1001.1589,0,0,23.745589192708355,0.015507194333333333,0.033223469666666665,10.939405590382407,1,3,4,4,0,2019,1016.4425,988.9187,1056.0351
1009.31,0,0,23.618341064453148,0.015485266333333332,0.0269470215,10.17662090360322,1,3,4,5,0,2019,1001.1589,1012.2364,1064.1462
1017.3351,0,0,23.60072224934898,0.015501489333333333,0.022055308,9.90818969967714,1,3,4,6,0,2019,1009.31,1017.0281,1077.8147
1109.6468,0,0,24.740889485677105,0.0154884215,0.019673029666666664,12.077827025022197,1,3,4,7,0,2019,1017.3351,1107.1032,1174.5597
1282.2689,0,0,26.699192301432316,0.015152371,0.015370687,13.474878626551918,1,3,4,8,0,2019,1109.6468,1283.8768,1337.9526999999998
1371.1583,0,0,28.765588378906276,0.014734882999999999,0.010911306,13.075442824603314,1,3,4,9,0,2019,1282.2689,1385.2154999999998,1420.4128
1452.3379,0,0,30.586206054687523,0.014590852000000001,0.009322166266666666,12.064315343231533,1,3,4,10,0,2019,1371.1583,1462.9939,1483.6348
1498.9345999999998,0,0,32.02626953125002,0.014637459333333333,0.010041713866666666,10.906200948328356,1,3,4,11,0,2019,1452.3379,1496.7113000000002,1499.1585
1501.3163,0,0,33.03858846028648,0.014656954666666666,0.016031265433333334,10.08649189753133,1,3,4,12,0,2019,1498.9345999999998,1515.6002,1492.9641
1529.3711,0,0,33.59356079101565,0.014577328,0.040692647,9.693754224438736,1,3,4,13,0,2019,1501.3163,1537.0133999999998,1531.5446
1540.1642,0,0,33.55436604817711,0.014417533000000001,0.07907613166666667,9.92475086850846,1,3,4,14,0,2019,1529.3711,1547.1162,1537.3588000000002
1504.5022,0,0,32.87530924479169,0.014459992999999999,0.09474690666666667,10.474888390247692,1,3,4,15,0,2019,1540.1642,1532.6234,1526.5096
1422.1361,0,0,31.71711629231773,0.014661605999999999,0.09490966666666667,11.21483455307854,1,3,4,16,0,2019,1504.5022,1458.3622,1448.9323
1328.3477,0,0,30.25268961588544,0.014872738333333335,0.081832886,11.797455820658994,1,3,4,17,0,2019,1422.1361,1348.1087,1327.6621
